operator_alias,Alias
ADVENTURE OPERATING,ADVENTURE
AJAX ENERGY,AJAX
ANADARKO,APC
ANTLE OPERATING,ANTLE
APACHE,APA
APC WATER HOLDINGS 1,APC
ARES ENERGY,ARES
ATLANTIC EXPLORATION,ATLANTIC
ATMOS ENERGY CORP  MID-TEX DIV,ATMOS
ATMOS PIPELINE - TEXAS,ATMOS
ATOKA OPERATING,ATOKA
ATOKA OPERATING PERMIAN,ATOKA
ATROPOS PRODUCTION,ATROPOS
BANNER OPERATING,BANNER
BASIN OPERATING,BASIN
BEACON E&P RESOURCES,BEACON
BHP BILLITON,BHP
BLACK RIVER WATER MGMT,BLACK RIVER
BLACKBEARD OPERATING,BLACKBEARD
BOLD OPERATING,BOLD
BORDERLINE OPERATING,BORDERLINE
BOYD&MCWILLIAMS ENERGY GROUP,BOYD
BULLET DEVELOPMENT,BULLET
C&L OIL,C&L
CALLAN OPERATING,CALLAN
CALLON PETROLEUM,CPE
CAMBRIAN MANAGEMENT,CAMBRIAN
CAPITAN ENERGY,CAPITAN
CAPSTONE NATURAL RESOURCES,CAPSTONE
CENTENNIAL RESOURCE PROD,CDEV
CHEVRON,CVX
CHISHOLM ENERGY OPERATING,CHISHOLM
CHOLLA PETROLEUM,CHOLLA
CIMAREX,XEC
CINNABAR OPERATING,CINNABAR
CONCHO O&G,CXO
CONOCOPHILLIPS,COP
COVENANT OPERATING,COVENANT
CPI OPERATING,CPI
CRAIG BOB,CRAIG BOB
CROWNQUEST OPERATING,CROWNQUEST
DEEP GULLY OIL,DEEP GULLY
DEVON,DVN
DIAMONDBACK E&P,FANG
DISCOVERY NATURAL RESOURCES,DISCOVERY
DRAKE PETR,DRAKE
DRY FORK PRODUCTION,DRY FORK
EAGLE HYDROCARBONS,EAGLE HYD
EAGLERIDGE OPERATING,EAGLERIDGE
ELEVATION RESOURCES,ELEVATION
ENCANA,ECA
ENDEAVOR ENERGY RESOURCES,ENDEAVOR
ENERGEN,EGN
ENVIRONMENTAL DISPOSAL SYSTEMS,ENVIRONMENTAL
EOG RESOURCES,EOG
EOG Y RESOURCES,EOG
EP ENERGY,EPE
EXL PETROLEUM,EXL PET.
FASKEN,FASKEN
FDL OPERATING,FDL
FELIX ENERGY HOLDINGS II,FELIX
FELIX WATER,FELIX
FINLEY RESOURCES,FINLEY
FLAGCO ENERGY,FLAGCO
FORGE' ENERGY,FORGE
FOUR H OIL PROPERTIES,FOUR H
GOODNIGHT MIDSTREAM PERMIAN,GOODNIGHT
GRACE 7 OPERATING,GRACE 7
