Well Name,API Number,Latitude (NAD27),Longitude (NAD27),Source Title,Reported Date,Company,Category,Parameter,Value,Unit,Actual/Forecast,Period,Basin/Region,Play/Formation,Sub-Location,Parameter Detail,Data Point Description,View URL
Christian 2 1T,4238935813,31.518292,-103.59524,Carrizo 2017-Q4 PPT,02-27-2018,Carrizo,Well Results,IP Rate (30-day Avg),"1,646",BOE/d,Actual,,Permian,Wolfcamp,"Wolfcamp A, Reeves County, Texas, Delaware Basin","All, Christian 2 1T well, 2-stream","IP Rate (30-day Avg) of Christian 2 1T well in Wolfcamp A, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 1,646 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=272641
State CVX Unit A1314 1H,4238935709,31.5117611,-103.6015018,Carrizo 2017-Q4 PPT,02-27-2018,Carrizo,Well Results,IP Rate (30-day Avg),"1,491",BOE/d,Actual,,Permian,Wolfcamp,"Wolfcamp B, Reeves County, Texas, Delaware Basin","All, State CVX Unit A1314 1H well, 2-stream","IP Rate (30-day Avg) of State CVX Unit A1314 1H well in Wolfcamp B, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 1,491 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=272643
Big House C 3H,4238936171,31.480017,-103.569408,Centennial 2017-Q4 PR,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Lateral Length,"4,150",Feet,Actual,,Permian,Bone Spring,"3rd Bone Spring, Reeves County, West Texas, Southern Delaware Basin","Big House C 3H well, WI-100%","""The well was drilled with a short 4,150 foot lateral and produced 806 Boe/d (60% oil) for the initial 30-day production period.""",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273046
Big House C 3H,4238936171,31.480017,-103.569408,Centennial 2017-Q4 PR,02-26-2018,Centennial Resource Production LLC,Well Results,IP Rate (30-day Avg),806,BOE/d,Actual,,Permian,Bone Spring,"3rd Bone Spring, Reeves County, West Texas, Southern Delaware Basin","Big House C 3H well, all, WI-100%","""The well was drilled with a short 4,150 foot lateral and produced 806 Boe/d (60% oil) for the initial 30-day production period.""",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273047
Blackstone W 1H,4238935961,31.259011,-103.371172,Centennial 2017-Q4 PR,02-26-2018,Centennial Resource Production LLC,Well Results,IP Rate (30-day Avg),"1,745",BOE/d,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin","Blackstone West 1H well, all, WI-100%","""The Blackstone West 1H (100% WI) produced 1,745 Boe/d (81% oil) for the initial 30-day production period. """,https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273051
Blackstone W 2H,4238935962,31.2588819,-103.3679091,Centennial 2017-Q4 PR,02-26-2018,Centennial Resource Production LLC,Well Results,IP Rate (30-day Avg),"1,316",BOE/d,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin","Blackstone West 2H well, all, WI-100%","""The Blackstone West 2H (100% WI) reported an initial 30-day production rate of 1,316 Boe/d (82% oil). """,https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273052
Big House A 1H,4238935949,31.471875,-103.574,Centennial 2017-Q4 PR,02-26-2018,Centennial Resource Production LLC,Well Results,IP Rate (30-day Avg),"2,705",BOE/d,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin","Big House A 4 57-60 1H well, all, WI-100%","""The Big House A 4 57-60 1H (100% WI) achieved an initial 30-day production rate of 2,705 Boe/d (52% oil).""",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273055
Sundown 1H,4238935922,31.06965,-103.505386,Centennial 2017-Q4 PR,02-26-2018,Centennial Resource Production LLC,Well Results,IP Rate (30-day Avg),"1,263",BOE/d,Actual,,Permian,Wolfcamp,"Lower Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin","Sundown 1H well, WI-82%, all","""The well achieved an initial 30-day production rate of 1,263 Boe/d (88% oil), with 268 Bbls/d of oil per 1,000 foot of lateral.""",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273058
Pirate State 101H,3002543917,32.211178425548,-103.4669839316,Centennial 2017-Q4 PR,02-26-2018,Centennial Resource Production LLC,Well Results,IP Rate (30-day Avg),"1,112",BOE/d,Actual,,Permian,Avalon,"Lea County, New Mexico, Northern Delaware Basin","Pirate State 101H well, WI-100%, all","""The Pirate State 101H (100% WI), Centennial’s first operated well, was completed in the Avalon Shale with an approximate 4,190 foot effective lateral and delivered an initial 30-day production rate of 1,112 Boe/d (79% oil). """,https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273059
Big House A 1H,4238935949,31.471875,-103.574,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Lateral Length,"7,040",Feet,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Reeves county, West Texas, Southern Delaware Basin",Big House A 1H well,"Lateral length of Big House A 1H well in Upper Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin, as reported in 2018 (Feb): 7,040 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273164
Big House A 1H,4238935949,31.471875,-103.574,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Proppant Volume,"2,750",lbs/ft,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Reeves county, West Texas, Southern Delaware Basin",Big House A 1H well,"Average proppant volume per foot for Big House A 1H well in Upper Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin, as reported in 2018 (Feb): 2,750 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273166
Big House B 2H,4238935953,31.471967,-103.574136,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Lateral Length,"7,040",Feet,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Reeves county, West Texas, Southern Delaware Basin",Big House B 2H well,"Lateral length of Big House B 2H well in Upper Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin, as reported in 2018 (Feb): 7,040 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273167
Big House B 2H,4238935953,31.471967,-103.574136,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Proppant Volume,"2,220",lbs/ft,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Reeves county, West Texas, Southern Delaware Basin",Big House B 2H well,"Average proppant volume per foot for Big House B 2H well in Upper Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin, as reported in 2018 (Feb): 2,220 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273169
Blackstone W 1H,4238935961,31.259011,-103.371172,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Lateral Length,"4,120",Feet,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Reeves county, West Texas, Southern Delaware Basin",Blackstone W 1H well,"Lateral length of Blackstone W 1H well in Upper Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin, as reported in 2018 (Feb): 4,120 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273170
Blackstone W 1H,4238935961,31.259011,-103.371172,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Proppant Volume,"2,490",lbs/ft,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Reeves county, West Texas, Southern Delaware Basin",Blackstone W 1H well,"Average proppant volume per foot for Blackstone W 1H well in Upper Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin, as reported in 2018 (Feb): 2,490 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273172
Blackstone W 2H,4238935962,31.2588819,-103.3679091,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Lateral Length,"4,110",Feet,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Reeves county, West Texas, Southern Delaware Basin",Blackstone W 2H well,"Lateral length of Blackstone W 2H well in Upper Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin, as reported in 2018 (Feb): 4,110 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273173
Blackstone W 2H,4238935962,31.2588819,-103.3679091,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Proppant Volume,"2,500",lbs/ft,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Reeves county, West Texas, Southern Delaware Basin",Blackstone W 2H well,"Average proppant volume per foot for Blackstone W 2H well in Upper Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin, as reported in 2018 (Feb): 2,500 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273175
Sundown 1H,4238935922,31.06965,-103.505386,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Lateral Length,"4,150",Feet,Actual,,Permian,Wolfcamp,"Lower Wolfcamp A, Reeves county, West Texas, Southern Delaware Basin",Sundown 1H well,"Lateral length of Sundown 1H well in Lower Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin, as reported in 2018 (Feb): 4,150 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273176
Sundown 1H,4238935922,31.06965,-103.505386,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Proppant Volume,"1,130",lbs/ft,Actual,,Permian,Wolfcamp,"Lower Wolfcamp A, Reeves county, West Texas, Southern Delaware Basin",Sundown 1H well,"Average proppant volume per foot for Sundown 1H well in Lower Wolfcamp A, Reeves County, West Texas, Southern Delaware Basin, as reported in 2018 (Feb): 1,130 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273178
Romeo 1H,3002542999,32.209067472578,-103.46376061303,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Lateral Length,"4,200",Feet,Actual,,Permian,Bone Spring,"2nd Bone Spring, Lea county, New Mexico, Northern Delaware Basin",Romeo 1H well,"Lateral length of Romeo 1H well in 2nd Bone Spring, Lea county, New Mexico, Northern Delaware Basin, as reported in 2018 (Feb): 4,200 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273179
Romeo 1H,3002542999,32.209067472578,-103.46376061303,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Proppant Volume,"3,000",lbs/ft,Actual,,Permian,Bone Spring,"2nd Bone Spring, Lea county, New Mexico, Northern Delaware Basin",Romeo 1H well,"Average proppant volume per foot for Romeo 1H well in 2nd Bone Spring, Lea county, New Mexico, Northern Delaware Basin, as reported in 2018 (Feb): 3,000 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273181
Pirate State 101H,3002543917,32.211178425548,-103.4669839316,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Lateral Length,"4,190",Feet,Actual,,Permian,Avalon,"Lea county, New Mexico, Delaware Basin",Pirate State 101H well,"Lateral length of Pirate State 101H well in Avalon, Lea county, New Mexico, Delaware Basin, as reported in 2018 (Feb): 4,190 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273182
Pirate State 101H,3002543917,32.211178425548,-103.4669839316,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Proppant Volume,"2,810",lbs/ft,Actual,,Permian,Avalon,"Lea county, New Mexico, Delaware Basin",Pirate State 101H well,"Average proppant volume per foot for Pirate State 101H well in Avalon, Lea county, New Mexico, Delaware Basin, as reported in 2018 (Feb): 2,810 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273184
Tour Bus 503H,3002543934,32.38378269594,-103.44174591112,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Lateral Length,"4,120",Feet,Actual,,Permian,Bone Spring,"2nd Bone Spring, Lea county, New Mexico, Northern Delaware Basin",Tour Bus 503H well,"Lateral length of Tour Bus 503H well in 2nd Bone Spring, Lea county, New Mexico, Northern Delaware Basin, as reported in 2018 (Feb): 4,120 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273185
Tour Bus 503H,3002543934,32.38378269594,-103.44174591112,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Proppant Volume,"3,030",lbs/ft,Actual,,Permian,Bone Spring,"2nd Bone Spring, Lea county, New Mexico, Northern Delaware Basin",Tour Bus 503H well,"Average proppant volume per foot for Tour Bus 503H well in 2nd Bone Spring, Lea county, New Mexico, Northern Delaware Basin, as reported in 2018 (Feb): 3,030 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273187
Tour Bus 504H,3002543935,32.388945709594,-103.44164876828,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Lateral Length,"2,960",Feet,Actual,,Permian,Bone Spring,"2nd Bone Spring, Lea county, New Mexico, Northern Delaware Basin",Tour Bus 504H well,"Lateral length of Tour Bus 504H well in 2nd Bone Spring, Lea county, New Mexico, Northern Delaware Basin, as reported in 2018 (Feb): 2,960 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273188
Tour Bus 504H,3002543935,32.388945709594,-103.44164876828,Centennial 2017-Q4 PPT,02-26-2018,Centennial Resource Production LLC,Well Parameters and Economics,Proppant Volume,"2,990",lbs/ft,Actual,,Permian,Bone Spring,"2nd Bone Spring, Lea county, New Mexico, Northern Delaware Basin",Tour Bus 504H well,"Average proppant volume per foot for Tour Bus 504H well in 2nd Bone Spring, Lea county, New Mexico, Northern Delaware Basin, as reported in 2018 (Feb): 2,990 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273190
South Elephant C207SL,4238936173,31.71774,-103.71186,Resolute 2017-Q4 PR,02-26-2018,Resolute Energy Corporation,Well Results,IP Rate (24 hr peak),"2,294",BOE/d,Actual,,Permian,Wolfcamp,"Middle Wolfcamp C, Appaloosa Area, Reeves County, West Texas, Delaware Basin","South Elephant C207SL well, all",""" The South Elephant C207SL, also a Wolfcamp C well, had a peak 24-hour rate of 2,294 Boe per day, of which approximately
31 percent was oil and 68 percent was liquids. """,https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273285
South Elephant B307SL,4238936172,31.717738,-103.71186,Resolute 2017-Q4 PR,02-26-2018,Resolute Energy Corporation,Well Results,IP Rate (24 hr peak),"2,254",BOE/d,Actual,,Permian,Wolfcamp,"Lower Wolfcamp B, Appaloosa Area, Reeves County, West Texas, Delaware Basin","South Elephant B307SL well, all",""" The South Elephant B307SL, a lower Wolfcamp B well, had a peak 24-hour rate of 2,254 Boe per day of which approximately
41 percent was oil and 73 percent was liquids""",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273288
