"","x"
"1","Chevron"
"2","EnerVest Management Partners"
"3","Apache"
"4","Oxy"
"5","Pioneer"
"6","Black Stone Minerals Company LP"
"7","EOG"
"8","Concho Resources Inc"
"9","Shell"
"10","Endeavor Energy Resources LP"
"11","ExxonMobil"
"12","Anadarko"
"13","Cimarex"
"14","Franco Nevada Corp"
"15","Devon Energy"
"16","Dorchester Minerals, L.P. (fka D. Hugoton)"
"17","ConocoPhillips"
"18","Panhandle"
"19","Texas Pacific Land Trust"
"20","Sinochem"
"21","Legacy Reserves LP"
"22","Parsley Energy LP"
"23","Sheridan Production Partners"
"24","El Dorado Resources LLC"
"25","EP Energy Corp"
"26","WPX Energy Inc"
"27","Noble Energy"
"28","Approach Resources Inc"
"29","EnCana"
"30","Viper Energy Partners LP"
"31","Fleur de Lis Energy LLC"
"32","Torchlight Energy Resources Inc"
"33","Laredo Petroleum Inc"
"34","Marathon"
"35","Matador Resources Company"
"36","Founders Oil and Gas LLC"
"37","CrownRock LP"
"38","OIE Winkler JV LP"
"39","Energen"
"40","Centennial Resource Development Inc"
"41","Saxet I Minerals"
"42","Primexx Energy Partners Ltd"
"43","Diamondback Energy"
"44","BHP Billiton"
"45","Ring Energy Inc"
"46","Rockcliff Energy II LLC"
"47","Sequitur Energy Resources LLC"
"48","SM Energy"
"49","Eagle Oil & Gas Co"
"50","Steward Energy II LLC"
"51","Jagged Peak Energy Inc"
"52","Monadnock Resources"
"53","Double Eagle Energy Holdings III LLC"
"54","Santa Elena Minerals LP"
"55","RAM Energy LLC"
"56","Hunt Oil"
"57","Yantai Xinchao Industry Co Ltd"
"58","Trail Ridge Energy Partners II LLC"
"59","Halcon Resources Corp"
"60","Rover Petroleum LLC"
"61","Whitehorse Energy LLC"
"62","Sable Permian Resources LLC"
"63","Conquistador Exploration Inc"
"64","PDC"
"65","Saxet II Minerals LLC"
"66","Enduro Resource Partners LLC"
"67","BlueStone Natural Resources II LLC"
"68","Henry Resources LLC"
"69","Blackbeard Operating LLC"
"70","PT Petroleum LLC"
"71","Carrizo"
"72","EnCore Permian Holdings LP"
"73","EQT Corporation"
"74","Four Corners Petroleum II LLC"
"75","Amazing Energy Oil and Gas Co"
"76","Luxe Energy II LLC"
"77","Felix Energy II"
"78","Maverick Natural Resources LLC"
"79","Carrier Energy Partners II LLC"
"80","Fortis Minerals II LLC"
"81","ENI"
"82","QEP Resources Inc"
"83","Admiral Permian Resources LLC"
"84","J Cleo Thompson"
"85","Ivory Energy LLC"
"86","Accelerate Resources Holdings LLC"
"87","Big Hatchet LLC"
"88","Callon"
"89","Texland Petroleum LP"
"90","Charger Shale Oil Co LLC"
"91","LongPoint Minerals LLC"
"92","Colgate Energy LLC"
"93","Flatland Mineral Fund LP"
"94","Vanguard Natural Resources LLC"
"95","TPG Special Situations Partners"
"96","Fort Worth Mineral Co"
"97","Trek Oil & Gas LLC"
"98","Mid-Con Energy Partners LP"
"99","Bayou City Energy LP"
"100","Oasis Petroleum Inc"
"101","Urban Oil & Gas Group LLC"
"102","Mack Energy Corp"
"103","Chase Oil Corp"
"104","Independence Resources Management LLC"
"105","FLAG Development LLC"
"106","Linn Energy LLC"
"107","Lilis Energy Inc"
"108","Atlantic Resources Company"
"109","Scala Energy"
"110","Boaz Energy II LLC"
"111","Luxe Minerals LLC"
"112","Opal Resources LLC"
"113","MorningStar Partners LP"
"114","KA Henry II"
"115","Crown Oil Partners V LP"
"116","Tap Rock Resources LLC"
"117","Vermilion Cliffs Partners"
"118","Murphy"
"119","Adventure Exploration Partners III LLC"
"120","Tracker Resource Development III LLC"
"121","Wolfbone Ranch Partners LLC"
"122","Common Resources III LLC"
"123","Guidon Energy"
"124","Sabalo Energy LLC"
"125","CPP WI Holding Co LLC"
"126","Murchison Oil and Gas"
"127","Sabinal Energy LLC"
"128","Mavros Minerals II LLC"
"129","Ameredev II LLC"
"130","Chisholm Energy Holdings LLC"
"131","Periscope Operating LLC"
"132","Arkoma Drilling LP"
"133","Gary Permian LLC"
"134","Scout Energy Partners"
"135","Santa Elena Minerals IV LP"
"136","Elevation Resources LLC"
"137","Forge Energy LLC"
"138","Wishbone Energy Partners"
"139","Windy Cove Energy II LLC"
"140","Pheasant Energy LLC"
"141","Resolute Energy Corporation"
"142","Antares Energy Ltd"
"143","Ajax Resources LLC"
"144","Novo Oil & Gas LLC"
"145","Lariat Resources LLC"
"146","TNM Resources LLC"
"147","Wolverine Gas and Oil Corp"
"148","TriGeo Energy LLC"
"149","Earthstone Energy Inc"
"150","Summit West Resources LP"
"151","ExL Petroleum Management LLC"
"152","Zarvona Energy LLC"
"153","Wyatt Energy Inc"
"154","US Energy Development Corp"
"155","Triple Crown Resources LLC"
